Alloy_ID,PH_Al,PH_Al2,PH_Si,PH_AlSi2Sr,EL_Sr
1,0.5034278,0.4407625,0.0526138,1.00E-07,0
2,0.5034517,0.4368831,0.052134,1.00E-07,0.0005
3,0.5034756,0.4328777,0.0516402,1.00E-07,0.001
4,0.5034995,0.4289328,0.0511521,1.00E-07,0.0015
5,0.5035234,0.4249955,0.0506649,1.00E-07,0.002
6,0.5035473,0.4210656,0.0501786,1.00E-07,0.0025
7,0.5035713,0.417143,0.0496933,1.00E-07,0.003
8,0.5035952,0.4132278,0.0492088,1.00E-07,0.0035
9,0.5036191,0.4093201,0.0487253,1.00E-07,0.004
10,0.5036431,0.4054194,0.0482426,1.00E-07,0.0045
11,0.503667,0.4015262,0.0477609,1.00E-07,0.005
12,0.5036909,0.4014105,0.0477467,0.000007,0.0055
13,0.5037148,0.4011242,0.0477127,0.0000146,0.006
14,0.5037387,0.4011402,0.0477147,0.0000221,0.0065
15,0.5037626,0.401046,0.0477035,0.0000296,0.007
16,0.5037866,0.4011907,0.0477209,0.000037,0.0075
17,0.5038105,0.4010218,0.0477749,0.0000446,0.008
18,0.5038344,0.4011613,0.0477917,0.0000519,0.0085
19,0.5038584,0.4010321,0.0477763,0.0000596,0.009
20,0.5038823,0.4010499,0.0477785,0.000067,0.0095
21,0.5039062,0.4012095,0.0477976,0.0000742,0.01
22,0.5039301,0.401015,0.0477744,0.000082,0.0105
23,0.503954,0.4009266,0.0477638,0.0000896,0.011
24,0.5039779,0.4009411,0.0477656,0.000097,0.0115
25,0.5040018,0.4010555,0.0477793,0.0001042,0.012
26,0.5040257,0.4007234,0.0477396,0.0001124,0.0125
27,0.5040496,0.4009073,0.0477616,0.0001194,0.013
28,0.5040736,0.4008588,0.0477563,0.0001303,0.0135
29,0.5040975,0.4007417,0.0477424,0.0001382,0.014
30,0.5041214,0.4006887,0.047736,0.0001459,0.0145
31,0.5041453,0.4006983,0.0477372,0.0001533,0.015
32,0.5041692,0.4007694,0.0477457,0.0001606,0.0155
33,0.5041932,0.4009008,0.0477614,0.0001675,0.016
34,0.5042171,0.4004475,0.0477074,0.0001769,0.0165
35,0.504241,0.4006841,0.0477355,0.0001834,0.017
36,0.5042649,0.4009782,0.0477705,0.0001895,0.0175
37,0.5042888,0.4006485,0.0477313,0.0001985,0.018
38,0.5043127,0.4003507,0.0476959,0.0002074,0.0185
39,0.5043366,0.4007879,0.0477478,0.0002127,0.019
40,0.5043605,0.4005638,0.0477211,0.0002212,0.0195
41,0.5043844,0.4003699,0.0476981,0.0002297,0.02
42,0.5044083,0.4002058,0.0476786,0.0002381,0.0205
43,0.5044322,0.4008215,0.0477515,0.0002421,0.021
44,0.5044561,0.4007269,0.0477402,0.00025,0.0215
45,0.5044801,0.4006605,0.0477323,0.0002578,0.022
46,0.504504,0.4006224,0.0477277,0.0002654,0.0225
